ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
1489,0,Phillipines,0,126.134,8.1918,42062.1,04-02-99,08-02-99,News,24,500000,Brief torrential rain,1
4488,,China,,112.853,25.9426,551384.88,22-06-17,03-07-17,News,28,500000,Monsoonal Rain,1.5
2591,0,Vietnam,0,107.437,16.1973,23734.89,26-11-04,30-11-04,News,56,500000,Heavy rain,1
192,0,Chinaÿ,0,104.148,29.5434,33856.49,24-06-88,28-06-88,News,65,500000,Torrential rain,2
3319,TC-2008-000084-CHN,India,0,110.224,22.1496,79368.52,11-06-08,03-07-08,News,65,500000,Heavy Rain,1.5
1396,0,China,0,109.874,24.8178,26915.69,15-06-98,28-06-98,News,66,500000,Heavy rain,2
975,0,North Korea,0,128.595,40.3499,120709.21,01-08-95,08-09-95,News,68,500000,Heavy rain,2
282,0,Yugoslavia,0,17.7595,43.8036,40946.6,26-01-89,02-02-89,News,72,500000,Heavy rain,1
3027,FL-2007-000023-IDN,Indonesia,0,106.828,-6.22483,4366.7,31-01-07,22-02-07,News,80,500000,Heavy rain,1.5
260,0,Vietnam,0,106.498,17.6857,39063.06,10-10-88,20-10-88,News,100,500000,Tropical cyclone,1
2559,0,China,0,108.196,30.5736,72283.7,03-09-04,09-09-04,News,196,500000,Heavy rain,2
2680,0,India,0,73.0739,21.433,73780.97,28-06-05,15-07-05,News,202,500000,Monsoonal rain,2
196,0,India,,80.7246,28.886,847737.26,04-07-88,08-08-88,News,233,500000,Monsoonal rain,2
146,0,Bangladeshÿ,,91.8011,24.7767,240065.2,23-07-87,24-09-87,News,880,500000,Heavy rain,2
2719,0,USA,0,-90.3201,30.191,50377.42,29-08-05,19-09-05,News,1053,500000,Tropical cyclone,2
1683,0,Mozambique,Somalia,33.5624,-16.2016,202265.53,01-01-01,27-04-01,News,146,485000,Tropical cyclone,1
2937,0,Philippines,0,120.74,15.862,2751.41,30-07-06,02-08-06,News,8,476027,Tropical Cyclone,1
2736,0,China,Vietnam,110.083,19.2402,491950.15,26-09-05,06-10-05,News,104,470000,Tropical cyclone,2
132,0,Chinaÿ,0,112.803,23.021,274128.55,19-05-87,09-06-87,News,178,470000,Heavy rain,1
411,0,India,0,80.6926,16.2843,267344.4,10-05-90,13-05-90,News,430,470000,Tropical cyclone,1
2689,0,Pakistan,India,73.5637,30.923,433454.63,05-07-05,14-08-05,News,40,452000,Monsoonal rain,1
1019,0,Philippines,0,120.606,15.2507,7275.47,09-10-95,26-10-95,News,100,450000,Tropical cyclone,1
467,0,Vietnam,0,107.467,16.3133,82532.6,08-10-90,24-10-90,News,16,440800,Tropical cyclone,1
